Sun Feb 21 05:58:42 2016 ipInfo|88.91.241.206,Oslo,59.9127,10.7461
Sun Feb 21 09:10:55 2016 ipInfo|88.91.241.206,Oslo,59.9127,10.7461
Sun Feb 21 09:10:56 2016 ipInfo|2.150.37.212,Oslo,59.9127,10.7461
Sun Feb 21 09:15:47 2016 ipInfo|2.150.37.212,Oslo,59.9127,10.7461
Sun Feb 21 09:15:47 2016 ipInfo|2.150.37.212,Oslo,59.9127,10.7461
Mon Feb 22 03:38:14 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Mon Feb 22 03:38:32 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Mon Feb 22 03:39:29 2016 ipInfo|2.150.18.220,,59.9500,10.7500
Mon Feb 22 03:42:00 2016 ipInfo|2.150.18.220,,59.9500,10.7500
Mon Feb 22 03:44:22 2016 ipInfo|2.150.20.4,,59.9500,10.7500
Mon Feb 22 03:44:38 2016 ipInfo|2.150.20.4,,59.9500,10.7500
Mon Feb 22 04:17:39 2016 ipInfo|2.150.18.220,,59.9500,10.7500
Mon Feb 22 04:17:39 2016 ipInfo|2.150.18.220,,59.9500,10.7500
Mon Feb 22 15:44:52 2016 ipInfo|92.221.191.211,,59.9500,10.7500
Mon Feb 22 16:50:46 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Wed Feb 24 13:14:55 2016 ipInfo|51.174.84.26,Stavanger,58.9667,5.7500
Tue Mar  8 08:27:38 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Tue Mar  8 08:27:58 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Tue Mar  8 08:38:09 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Tue Mar  8 08:38:21 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Tue Mar  8 08:38:21 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Wed Mar  9 02:44:23 2016 ipInfo|2.150.16.126,Oslo,59.9127,10.7461
Wed Mar  9 09:58:24 2016 ipInfo|2.150.16.126,Oslo,59.9127,10.7461
Wed Mar  9 09:58:24 2016 ipInfo|2.150.16.126,Oslo,59.9127,10.7461
Mon Mar 14 05:10:15 2016 ipInfo|2.150.16.240,,59.9500,10.7500
Thu Mar 17 02:12:06 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Sat Mar 19 15:44:16 2016 ipInfo|108.250.177.195,Vernon Hills,42.2325,-87.9634
Wed Mar 23 18:58:40 2016 ipInfo|51.175.77.204,Fornebu,59.8995,10.6287
Fri Mar 25 08:16:20 2016 ipInfo|198.23.241.159,Buffalo,42.9864,-78.7279
Fri Mar 25 08:16:20 2016 ipInfo|198.23.241.159,Buffalo,42.9864,-78.7279
Tue Apr 12 03:38:42 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Tue Apr 12 03:38:43 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Apr 15 09:43:16 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Apr 29 14:41:29 2016 ipInfo|147.9.37.152,Washington,38.9376,-77.0928
Tue May 17 17:12:47 2016 ipInfo|216.68.195.82,,38.0000,-97.0000
Tue Jun  7 17:19:49 2016 ipInfo|51.175.77.204,Fornebu,59.8995,10.6287
Tue Jun  7 17:22:09 2016 ipInfo|51.175.77.204,Fornebu,59.8995,10.6287
Tue Jun  7 17:22:09 2016 ipInfo|51.175.77.204,Fornebu,59.8995,10.6287
Tue Jun  7 17:29:10 2016 ipInfo|51.175.77.204,Fornebu,59.8995,10.6287
Tue Jun  7 19:00:03 2016 ipInfo|93.149.249.137,Rome,41.8947,12.4839
Tue Jun  7 19:00:04 2016 ipInfo|93.149.249.137,Rome,41.8947,12.4839
Tue Jun 14 11:19:45 2016 ipInfo|85.140.2.6,,55.7500,37.6166
Thu Jun 16 09:44:18 2016 ipInfo|46.19.19.74,,59.9500,10.7500
Sun Jul  3 01:00:45 2016 ipInfo|73.166.116.103,Houston,29.7270,-95.3613
Sun Jul 31 05:40:17 2016 ipInfo|95.34.105.161,,59.9500,10.7500
Fri Aug  5 04:05:43 2016 ipInfo|213.52.71.74,,59.9500,10.7500
Sat Aug  6 16:46:23 2016 ipInfo|107.15.117.192,Cary,35.7895,-78.8743
Fri Aug 12 05:48:54 2016 ipInfo|46.66.65.31,Stavanger,58.9505,5.6425
Fri Aug 19 05:25:38 2016 ipInfo|213.52.71.74,Oslo,59.8995,10.6287
Fri Aug 19 05:25:39 2016 ipInfo|213.52.71.74,Oslo,59.8995,10.6287
Fri Aug 19 05:27:57 2016 ipInfo|213.52.71.76,Oslo,59.8995,10.6287
Fri Aug 19 05:28:41 2016 ipInfo|213.52.71.76,Oslo,59.8995,10.6287
Fri Aug 19 05:30:14 2016 ipInfo|213.52.71.76,Oslo,59.8995,10.6287
Fri Aug 19 05:37:10 2016 ipInfo|176.11.24.121,,59.9500,10.7500
Fri Aug 19 05:37:11 2016 ipInfo|176.11.24.121,,59.9500,10.7500
Fri Aug 19 05:41:02 2016 ipInfo|213.52.71.76,Oslo,59.8995,10.6287
Fri Aug 19 05:41:02 2016 ipInfo|213.52.71.76,Oslo,59.8995,10.6287
Fri Aug 19 05:43:37 2016 ipInfo|2.150.36.73,Oslo,59.8995,10.6287
Fri Aug 19 05:44:00 2016 ipInfo|176.11.24.121,,59.9500,10.7500
Fri Aug 19 05:44:01 2016 ipInfo|176.11.24.121,,59.9500,10.7500
Fri Aug 19 05:51:39 2016 ipInfo|193.160.199.35,Oslo,59.8995,10.6287
Fri Aug 19 05:51:40 2016 ipInfo|193.160.199.35,Oslo,59.8995,10.6287
Fri Aug 19 05:52:54 2016 ipInfo|193.160.199.35,Oslo,59.8995,10.6287
Fri Aug 19 05:52:54 2016 ipInfo|193.160.199.35,Oslo,59.8995,10.6287
Tue Aug 23 05:45:18 2016 ipInfo|202.127.20.54,Beijing,39.9289,116.3883
Wed Aug 24 13:53:36 2016 ipInfo|51.175.77.204,,59.9500,10.7500
Wed Aug 24 13:53:36 2016 ipInfo|51.175.77.204,,59.9500,10.7500
Tue Sep 13 04:10:44 2016 ipInfo|213.52.71.74,Oslo,59.9167,10.7500
Wed Sep 21 14:49:30 2016 ipInfo|37.253.219.139,Oslo,59.9167,10.7500
Wed Sep 21 14:54:55 2016 ipInfo|66.249.85.17,,32.7787,-96.8217
Wed Sep 21 14:54:55 2016 ipInfo|66.249.85.6,,32.7787,-96.8217
Wed Sep 21 14:54:55 2016 ipInfo|66.249.85.18,,32.7787,-96.8217
Wed Sep 21 14:54:55 2016 ipInfo|66.249.85.6,,32.7787,-96.8217
Wed Sep 21 14:54:57 2016 ipInfo|66.249.85.16,,32.7787,-96.8217
Wed Sep 21 14:54:57 2016 ipInfo|66.249.85.6,,32.7787,-96.8217
Wed Sep 21 14:55:33 2016 ipInfo|66.249.85.6,,32.7787,-96.8217
Wed Sep 21 14:55:33 2016 ipInfo|66.249.85.18,,32.7787,-96.8217
